HS_299,HS_644,HS_672,HS_678,HS_694,HS_696,HS_698,HS_701,HS_702,HS_703
ENSG00000251503.8,0,0,1,0,1,1,0,0,0,1
ENSG00000175279.22,3,5,4,14,0,1,3,7,18,5
ENSG00000241563.4,1,0,1,4,0,4,0,3,4,0
ENSG00000160049.12,348,323,304,278,291,430,491,383,407,453
ENSG00000203469.2,0,0,0,0,0,0,0,0,0,0
ENSG00000142655.13,237,177,221,192,246,221,159,191,273,234
ENSG00000287727.1,0,0,3,0,1,10,2,4,1,7
ENSG00000243267.3,0,1,0,0,0,4,0,1,1,0
ENSG00000130940.15,118,88,100,52,115,94,106,125,105,102
ENSG00000272078.1,14,11,8,15,16,13,9,12,11,9
ENSG00000225158.2,0,0,0,0,0,0,0,0,0,0
ENSG00000175262.15,10,18,15,3,21,9,17,23,22,14
ENSG00000215785.2,0,2,5,5,0,1,1,2,1,1
ENSG00000120948.19,1889,2092,1943,1529,1465,2770,3790,2731,2797,2612
ENSG00000009724.18,261,194,92,44,208,264,502,327,353,292
ENSG00000116649.10,456,275,414,418,406,392,388,337,364,406
ENSG00000230337.4,31,14,46,19,21,22,22,45,37,31
ENSG00000171824.14,659,536,575,260,737,892,1452,904,918,859
ENSG00000198793.14,868,732,664,416,1023,1134,1408,992,1184,1057
ENSG00000225602.5,1,1,1,0,0,0,5,0,0,0
ENSG00000253086.1,0,0,0,0,0,0,0,0,0,0
ENSG00000171819.5,0,0,0,0,0,0,0,1,0,0
ENSG00000207451.1,0,0,0,0,0,1,0,0,0,0
ENSG00000238173.1,0,0,0,0,0,0,0,0,0,0
ENSG00000120942.14,341,216,310,237,339,350,370,337,415,401
ENSG00000238199.1,4,0,0,0,0,0,12,3,4,0
ENSG00000284646.1,0,0,0,0,0,0,0,0,0,0
ENSG00000224338.2,0,0,0,0,0,0,0,0,0,0
ENSG00000204624.8,4,0,3,4,6,23,0,1,5,6
ENSG00000285833.1,0,0,0,0,0,0,0,0,0,0
ENSG00000235643.2,0,0,0,0,0,0,0,0,0,0
ENSG00000284708.1,0,1,0,0,0,2,0,0,1,2
ENSG00000116661.11,48,28,77,27,38,51,24,33,51,53
ENSG00000132879.14,590,336,779,624,633,563,237,645,594,735
ENSG00000116670.16,364,361,394,452,581,317,232,402,330,390
ENSG00000116663.11,116,158,184,86,215,96,84,178,84,119
